净值日期,单位净值,日增长率,累计净值,累计收益率,同类型排名-每日近三月排名,总排名-每日近三月排名,同类型排名-每日近3月收益排名百分比
2017-06-07,1.0,0.0,1.0,0.0,18.0,230,92.17
2017-06-09,1.0,0.0,1.0,-4.21,19.0,232,91.81
2017-06-16,1.001,0.0,1.001,-4.53,12.0,231,94.81
2017-06-23,1.001,0.0,1.001,-2.7,18.0,231,92.21
2017-06-30,1.002,0.0,1.002,-0.48,10.0,231,95.67
2017-07-06,1.002,0.0,1.002,-1.35,13.0,231,94.37
2017-07-07,1.003,0.0998,1.003,-3.1,10.0,233,95.71
2017-07-10,1.006,0.2991,1.006,-3.5,10.0,233,95.71
2017-07-11,1.001,-0.497,1.001,-0.52,8.0,233,96.57
2017-07-12,1.015,1.3986,1.015,-0.2,4.0,233,98.28
2017-07-13,1.012,-0.2956,1.012,-3.58,5.0,235,97.87
2017-07-14,1.019,0.6917,1.019,-3.1,8.0,236,96.61
2017-07-17,1.004,-1.472,1.004,-6.36,6.0,235,97.45
2017-07-18,1.007,0.2988,1.007,-9.22,5.0,235,97.87
2017-07-19,1.019,1.1917,1.019,-7.95,4.0,235,98.3
2017-07-20,1.032,1.2758,1.032,-3.5,5.0,231,97.84
2017-07-21,1.041,0.8721,1.041,-4.21,4.0,233,98.28
2017-07-24,1.021,-1.9212,1.021,-2.94,2.0,239,99.16
2017-07-25,1.018,-0.2938,1.018,-3.62,2.0,239,99.16
2017-07-26,1.019,0.0982,1.019,-2.11,5.0,239,97.91
2017-07-27,1.009,-0.9814,1.009,-0.95,10.0,240,95.83
2017-07-28,1.036,2.6759,1.036,-0.16,7.0,241,97.1
2017-07-31,1.055,1.834,1.055,-0.36,8.0,240,96.67
2017-08-01,1.061,0.5687,1.061,-1.19,14.0,240,94.17
2017-08-02,1.057,-0.377,1.057,-1.59,38.0,241,84.23
2017-08-03,1.05,-0.6623,1.05,-5.69,21.0,241,91.29
2017-08-04,1.016,-3.2381,1.016,-5.21,4.0,243,98.35
2017-08-07,1.032,1.5748,1.032,-1.35,18.0,242,92.56
2017-08-08,1.02,-1.1628,1.02,-1.47,5.0,242,97.93
2017-08-09,1.034,1.3725,1.034,-1.27,12.0,242,95.04
2017-08-10,1.017,-1.6441,1.017,4.61,15.0,242,93.8
2017-08-11,0.987,-2.9499,0.987,3.74,10.0,243,95.88
2017-08-14,1.036,4.9645,1.036,3.34,46.0,242,80.99
2017-08-15,1.045,0.8687,1.045,3.9,31.0,242,87.19
2017-08-16,1.034,-1.0526,1.034,6.04,21.0,245,91.43
2017-08-17,1.041,0.677,1.041,4.89,14.0,245,94.29
2017-08-18,1.018,-2.2094,1.018,5.01,21.0,247,91.5
2017-08-21,1.027,0.8841,1.027,7.08,17.0,246,93.09
2017-08-22,1.04,1.2658,1.04,7.51,25.0,246,89.84
2017-08-23,1.027,-1.25,1.027,9.42,5.0,246,97.97
2017-08-24,1.019,-0.779,1.019,9.78,18.0,246,92.68
2017-08-25,1.038,1.8646,1.038,7.48,17.0,248,93.15
2017-08-28,1.06,2.1195,1.06,9.54,17.0,248,93.15
2017-08-29,1.055,-0.4717,1.055,5.96,61.0,248,75.4
2017-08-30,1.063,0.7583,1.063,6.44,128.0,248,48.39
2017-08-31,1.084,1.9755,1.084,3.82,131.0,248,47.18
2017-09-01,1.105,1.9373,1.105,5.77,146.0,249,41.37
2017-09-04,1.106,0.0905,1.106,9.86,86.0,248,65.32
2017-09-05,1.142,3.255,1.142,10.97,108.0,248,56.45
2017-09-06,1.18,3.3275,1.18,14.83,119.0,248,52.02
2017-09-07,1.165,-1.2712,1.165,14.19,82.0,249,67.07
2017-09-08,1.166,0.0858,1.166,14.08,61.0,250,75.6
2017-09-11,1.226,5.1458,1.226,14.83,134.0,249,46.18
2017-09-12,1.192,-2.7732,1.192,15.75,138.0,249,44.58
2017-09-13,1.211,1.594,1.211,15.27,145.0,249,41.77
2017-09-14,1.199,-0.9909,1.199,15.43,170.0,249,31.73
2017-09-15,1.191,-0.6672,1.191,20.2,190.0,251,24.3
2017-09-18,1.209,1.5113,1.209,25.49,194.0,250,22.4
2017-09-19,1.203,-0.4963,1.203,24.77,230.0,250,8.0
2017-09-20,1.223,1.6625,1.223,23.9,246.0,253,2.77
2017-09-21,1.206,-1.39,1.206,25.09,246.0,253,2.77
2017-09-22,1.189,-1.4096,1.189,28.95,246.0,254,3.15
2017-09-25,1.17,-1.598,1.17,26.64,247.0,253,2.37
2017-09-26,1.178,0.6838,1.178,25.65,238.0,253,5.93
2017-09-27,1.213,2.9711,1.213,26.08,245.0,254,3.54
2017-09-28,1.213,0.0,1.213,30.22,244.0,254,3.94
2017-09-29,1.208,-0.4122,1.208,29.78,252.0,261,3.45
2017-10-09,1.208,0.0,1.208,27.55,254.0,260,2.31
2017-10-10,1.194,-1.1589,1.194,20.6,254.0,260,2.31
2017-10-11,1.176,-1.5075,1.176,22.19,255.0,261,2.3
2017-10-12,1.167,-0.7653,1.167,26.76,254.0,261,2.68
2017-10-13,1.177,0.8569,1.177,27.75,256.0,262,2.29
2017-10-16,1.176,-0.085,1.176,28.07,244.0,257,5.06
2017-10-17,1.166,-0.8503,1.166,30.58,247.0,257,3.89
2017-10-18,1.149,-1.458,1.149,29.46,250.0,261,4.21
2017-10-19,1.156,0.6092,1.156,30.97,253.0,262,3.44
2017-10-20,1.19,2.9412,1.19,32.49,255.0,264,3.41
2017-10-23,1.185,-0.4202,1.185,31.93,256.0,263,2.66
2017-10-24,1.186,0.0844,1.186,34.27,250.0,263,4.94
2017-10-25,1.18,-0.5059,1.18,32.21,247.0,263,6.08
2017-10-26,1.186,0.5085,1.186,32.68,246.0,264,6.82
2017-10-27,1.186,0.0,1.186,37.38,239.0,263,9.13
2017-10-30,1.168,-1.5177,1.168,38.05,241.0,263,8.37
2017-10-31,1.198,2.5685,1.198,44.57,240.0,263,8.75
2017-11-01,1.216,1.5025,1.216,45.37,230.0,263,12.55
2017-11-02,1.221,0.4112,1.221,48.83,230.0,264,12.88
2017-11-03,1.214,-0.5733,1.214,55.11,237.0,263,9.89
2017-11-06,1.214,0.0,1.214,55.43,240.0,263,8.75
2017-11-07,1.211,-0.2471,1.211,48.99,244.0,263,7.22
2017-11-08,1.222,0.9083,1.222,50.78,232.0,263,11.79
2017-11-09,1.216,-0.491,1.216,47.99,238.0,264,9.85
2017-11-10,1.221,0.4112,1.221,45.53,246.0,263,6.46
2017-11-13,1.217,-0.3276,1.217,47.51,240.0,263,8.75
2017-11-14,1.184,-2.7116,1.184,54.59,241.0,263,8.37
2017-11-15,1.138,-3.8851,1.138,55.27,240.0,264,9.09
2017-11-16,1.134,-0.3515,1.134,55.03,239.0,264,9.47
2017-11-17,1.112,-1.94,1.112,53.6,238.0,264,9.85
2017-11-20,1.142,2.6978,1.142,46.12,243.0,264,7.95
2017-11-21,1.143,0.0876,1.143,44.21,246.0,264,6.82
2017-11-22,1.144,0.0875,1.144,52.21,250.0,264,5.3
2017-11-23,1.121,-2.0105,1.121,52.6,252.0,264,4.55
2017-11-24,1.128,0.6244,1.128,55.55,253.0,264,4.17
2017-11-27,1.076,-4.6099,1.076,47.75,250.0,265,5.66
2017-11-28,1.095,1.7658,1.095,55.9,256.0,265,3.4
2017-11-29,1.09,-0.4566,1.09,55.27,262.0,265,1.13
2017-11-30,1.089,-0.0917,1.089,59.28,270.0,272,0.74
2017-12-01,1.095,0.551,1.095,55.79,271.0,272,0.37
2017-12-04,1.088,-0.6393,1.088,53.04,265.0,267,0.75
2017-12-05,1.068,-1.8382,1.068,53.92,264.0,269,1.86
2017-12-06,1.068,0.0,1.068,55.43,259.0,272,4.78
2017-12-07,1.048,-1.8727,1.048,54.75,256.0,272,5.88
2017-12-08,1.066,1.7176,1.066,49.86,264.0,272,2.94
2017-12-11,1.093,2.5328,1.093,49.11,255.0,272,6.25
2017-12-12,1.107,1.2809,1.107,49.42,247.0,273,9.52
2017-12-13,1.103,-0.3613,1.103,53.52,253.0,274,7.66
2017-12-14,1.102,-0.0907,1.102,52.64,250.0,274,8.76
2017-12-15,1.081,-1.9056,1.081,56.58,204.0,278,26.62
2017-12-18,1.064,-1.5726,1.064,58.97,228.0,278,17.99
2017-12-19,1.069,0.4699,1.069,59.76,179.0,278,35.61
2017-12-20,1.069,0.0,1.069,57.42,229.0,278,17.63
2017-12-21,1.083,1.3096,1.083,63.38,204.0,278,26.62
2017-12-22,1.087,0.3693,1.087,66.4,201.0,279,27.96
2017-12-25,1.078,-0.828,1.078,68.31,161.0,279,42.29
2017-12-26,1.079,0.0928,1.079,60.04,161.0,281,42.7
2017-12-27,1.087,0.7414,1.087,62.35,103.0,281,63.35
2017-12-28,1.087,0.0,1.087,57.34,118.0,281,58.01
2017-12-29,1.089,0.184,1.089,58.89,68.0,281,75.8
2017-12-31,1.089,0.0,1.089,64.33,83.0,281,70.46
2018-01-02,1.096,0.6428,1.096,,129.0,281,54.09
