净值日期,单位净值,累计净值,日增长率,情绪指数
2010/8/20,1,1,0,0
2010/8/21,1,1,0,0
2010/8/22,1,1,0,0
2010/8/23,1,1,0,0
2010/8/24,1,1,0,0
2010/8/25,1,1,0,0
2010/8/26,1,1,0,0
2010/8/27,1.001,1.001,0.1,0
2010/8/28,1.001,1.001,0,0
2010/8/29,1.001,1.001,0,0
2010/8/30,1.001,1.001,0,0
2010/8/31,1.001,1.001,0,0
2010/9/1,1.001,1.001,0,0
2010/9/2,1.001,1.001,0,0
2010/9/3,1.006,1.006,0.4995,0
2010/9/4,1.006,1.006,0,0
2010/9/5,1.006,1.006,0,0
2010/9/6,1.006,1.006,0,0
2010/9/7,1.006,1.006,0,0
2010/9/8,1.006,1.006,0,0
2010/9/9,1.006,1.006,0,0
2010/9/10,1.006,1.006,0,0
2010/9/11,1.006,1.006,0,0
2010/9/12,1.006,1.006,0,0
2010/9/13,1.006,1.006,0,0
2010/9/14,1.006,1.006,0,0
2010/9/15,1.006,1.006,0,0
2010/9/16,1.006,1.006,0,0
2010/9/17,1.004,1.004,-0.1988,0
2010/9/18,1.004,1.004,0,0
2010/9/19,1.004,1.004,0,0
2010/9/20,1.004,1.004,0,0
2010/9/21,1.005,1.005,0.0996,0
2010/9/22,1.005,1.005,0,0
2010/9/23,1.005,1.005,0,0
2010/9/24,1.005,1.005,0,0
2010/9/25,1.005,1.005,0,0
2010/9/26,1.005,1.005,0,0
2010/9/27,1.005,1.005,0,0
2010/9/28,1.005,1.005,0,0
2010/9/29,1.005,1.005,0,0
2010/9/30,1.007,1.007,0.199,0
2010/10/1,1.007,1.007,0,0
2010/10/2,1.007,1.007,0,0
2010/10/3,1.007,1.007,0,1
2010/10/4,1.007,1.007,0,0
2010/10/5,1.007,1.007,0,0
2010/10/6,1.007,1.007,0,0
2010/10/7,1.007,1.007,0,0
2010/10/8,1.013,1.013,0.5958,0
2010/10/9,1.013,1.013,0,0
2010/10/10,1.013,1.013,0,0
2010/10/11,1.013,1.013,0,1
2010/10/12,1.013,1.013,0,0
2010/10/13,1.013,1.013,0,0
2010/10/14,1.013,1.013,0,0
2010/10/15,0.994,0.994,-1.8756,0
2010/10/16,0.994,0.994,0,0
2010/10/17,0.994,0.994,0,0
2010/10/18,0.994,0.994,0,0
2010/10/19,0.994,0.994,0,0
2010/10/20,0.994,0.994,0,0
2010/10/21,0.994,0.994,0,0
2010/10/22,1.01,1.01,1.6097,1
2010/10/23,1.01,1.01,0,0
2010/10/24,1.01,1.01,0,0
2010/10/25,1.01,1.01,0,1
2010/10/26,1.019,1.019,0.8911,1
2010/10/27,1.014,1.014,-0.4907,1
2010/10/28,1.013,1.013,-0.0986,0
2010/10/29,1.017,1.017,0.3949,0
2010/10/30,1.017,1.017,0,0
2010/10/31,1.017,1.017,0,0
2010/11/1,1.026,1.026,0.885,0
2010/11/2,1.024,1.024,-0.1949,0
2010/11/3,1.024,1.024,0,0
2010/11/4,1.03,1.03,0.5859,0
2010/11/5,1.033,1.033,0.2913,1
2010/11/6,1.033,1.033,0,0
2010/11/7,1.033,1.033,0,0
2010/11/8,1.038,1.038,0.484,0
2010/11/9,1.045,1.045,0.6744,0
2010/11/10,1.058,1.058,1.244,1
2010/11/11,1.051,1.051,-0.6616,0
2010/11/12,1.02,1.02,-2.9496,0
2010/11/13,1.02,1.02,0,0
2010/11/14,1.02,1.02,0,0
2010/11/15,1.042,1.042,2.1569,0
2010/11/16,1.027,1.027,-1.4395,0
2010/11/17,1.002,1.002,-2.4343,0
2010/11/18,1.01,1.01,0.7984,0
2010/11/19,1.026,1.026,1.5842,0
2010/11/20,1.026,1.026,0,0
2010/11/21,1.026,1.026,0,0
2010/11/22,1.031,1.031,0.4873,0
2010/11/23,1.022,1.022,-0.8729,0
2010/11/24,1.036,1.036,1.3699,0
2010/11/25,1.044,1.044,0.7722,1
2010/11/26,1.042,1.042,-0.1916,0
2010/11/27,1.042,1.042,0,0
2010/11/28,1.042,1.042,0,0
2010/11/29,1.044,1.044,0.1919,1
2010/11/30,1.028,1.028,-1.5326,0
2010/12/1,1.024,1.024,-0.3891,1
2010/12/2,1.02,1.02,-0.3906,1
2010/12/3,1.014,1.014,-0.5882,0
