序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
1,艾定飞,华商基金,"华商电子行业量化股票,华商计算机行业量化股票",1053,5.74,81.72
2,艾小军,国泰基金,"国泰黄金ETF联接A,国泰黄金ETF联接C,国泰量化成长优选混合A,国泰量化成长优选混合C,国泰中证全指通信设备ETF联接A,国泰中证全指通信设备ETF联接C,国泰中证计算机主题ETF联接C,国泰中证全指证券公司ETF联接A,国泰中证全指证券公司ETF联接C,国泰上证180金融ETF联接,国泰策略价值灵活配置混合,国泰中证计算机主题ETF联接A,国泰中证申万证券行业指数,国泰国证航天军工指数,国泰上证180金融ETF,国泰中证军工ETF,国泰中证计算机ETF,国泰CES半导体芯片ETF,国泰中证全指证券公司ETF,国泰中证全指通信设备ETF,国泰黄金ETF",2831,706.17,180.02
3,安昀,长信基金,"长信内需成长混合E,长信消费升级混合A,长信消费升级混合C,长信优质企业混合A,长信优质企业混合C,长信内需均衡混合A,长信内需均衡混合C,长信内需成长混合A",2731,52.58,153.11
4,彬彬,人保资产,"人保优势产业混合A,人保优势产业混合C",1003,0.58,57
5,包兵华,鹏华基金,"鹏华研究驱动混合,鹏华研究智选混合,鹏华成长智选混合A,鹏华成长智选混合C",908,87.4,124.37
6,白冰洋,中银证券,"中银证券价值精选混合,中银证券健康产业混合,中银证券聚瑞混合A,中银证券聚瑞混合C,中银证券优势制造股票A,中银证券优势制造股票C",1822,4.63,31.63
7,薄官辉,银华基金,"银华高端制造业混合,银华中国梦30股票,银华兴盛股票,银华阿尔法混合,银华安盛混合,银华消费主题混合,银华优势企业混合",2360,68.98,159.61
8,边慧,银华基金,"银华汇盈一年持有期混合A,银华汇盈一年持有期混合C",202,9.04,2.14
9,白海峰,招商基金,"招商沪港深科技创新混合A,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接C,招商普盛全球配置(QDII-FOF)人民币,招商普盛全球配置(QDII-FOF)美元现汇,招商普盛全球配置(QDII-FOF)美元现钞,招商沪港深科技创新混合C,招商港股通核心精选股票A,招商港股通核心精选股票C,招商MSCI中国A股国际通ETF",1980,22.89,87.98
10,白洁,中银基金,"中银活期宝货币,中银悦享定期开放债券发起式,中银睿享定开债券,中银丰庆定期开放债券,中银信享定期开放债券,中银稳汇短债债券A,中银稳汇短债债券C,中银产业债债券C,中银欣享利率债,中银稳汇短债债券E,中银嘉享3个月定开债,中银恒泰9个月持有期债券A,中银恒泰9个月持有期债券C,中银产业债债券A",3864,1040.79,48.93
11,毕凯,南方基金,"南方沪港深核心优势混合,南方香港优选股票",1512,7.24,41.96
12,毕凯,光大保德信基金管理,"光大岁末红利纯债A,光大岁末红利纯债C,光大尊丰纯债定开债,光大裕鑫混合A,光大裕鑫混合C,光大尊裕纯债一年定开债",426,18.99,4.19
13,白鹏,中邮基金,中邮核心成长混合,52,57.93,-0.22
14,毕天宇,富国基金,"富国高端制造行业股票,富国龙头优势混合,富国均衡成长三年持有期混合A,富国均衡成长三年持有期混合C,富国天博创新主题混合",5801,70.63,341.22
15,鲍无可,景顺长城基金,"景顺长城沪港深精选股票,景顺长城价值边际灵活配置混合,景顺长城价值驱动一年持有混合,景顺长城价值稳进定开混合,景顺长城价值领航混合,景顺长城能源基建混合",2666,97.16,246.07
16,贲兴振,银华基金,"银华混改红利灵活配置混合发起式,银华行业轮动混合,银华稳健增长一年持有期混合,银华优质增长混合",3092,61.32,141.11
17,白玉,浙商基金,"浙商智选经济动能混合A,浙商智选经济动能混合C",92,13.42,-2.52
18,柏杨,大成基金,"大成港股精选混合(QDII)A,大成港股精选混合(QDII)C",161,4.94,-14.66
19,薄玉,华宝基金,华宝消费升级混合,44,0.45,7.67
20,卞亚军,同泰基金,"同泰远见混合A,同泰远见混合C,同泰竞争优势混合A,同泰竞争优势混合C,同泰大健康主题混合A,同泰大健康主题混合C,同泰行业优选股票A,同泰行业优选股票C,同泰数字经济股票A,同泰数字经济股票C,同泰同欣混合A,同泰同欣混合C",1756,7.11,4.01
21,毕子男,华融基金,华融新利灵活配置混合,225,0.02,5.05
22,毕仲圆,易方达基金,易方达港股通红利混合,453,15.74,-8.61
23,蔡宾,长盛基金,"长盛稳怡添利债券A,长盛稳怡添利债券C,长盛安泰一年持有期混合A,长盛安泰一年持有期混合C,长盛鑫盛稳健一年持有A,长盛鑫盛稳健一年持有C,长盛安睿一年持有混合A,长盛安睿一年持有混合C",4454,14.36,15.12
24,蔡滨,博时基金,"博时产业新动力混合A,博时外延增长主题灵活配置混合,博时逆向投资混合A,博时逆向投资混合C,博时战略新兴产业混合,博时产业新动力混合C,博时荣享回报混合A,博时荣享回报混合C,博时产业新趋势混合A,博时产业新趋势混合C,博时研究精选持有期混合A,博时研究精选持有期混合C,博时产业精选混合A,博时产业精选混合C,博时产业慧选混合A,博时产业慧选混合C,博时产业优选混合A,博时产业优选混合C",2484,152.09,182.6
25,陈博,上银基金,"上银鑫达混合,上银未来生活灵活配置混合,上银丰益混合A,上银丰益混合C,上银慧尚6个月持有期混合A,上银慧尚6个月持有期混合C,上银价值增长3个月持有期混合A,上银价值增长3个月持有期混合C",619,6.13,67.5
26,陈保国,西部利得基金,"西部利得景瑞灵活配置混合C,西部利得碳中和混合发起A,西部利得碳中和混合发起C,西部利得成长精选混合,西部利得行业主题优选混合A,西部利得行业主题优选混合C,西部利得新盈混合,西部利得景瑞灵活配置混合A,西部利得景程混合A,西部利得景程混合C,西部汇逸债券A,西部汇逸债券C",607,49.1,125.7
27,陈伯祯,银河基金,"银河臻优稳健配置混合A,银河臻优稳健配置混合C,银河龙头股票,银河中证沪港深高股息A,银河中证沪港深高股息C,银河鑫利混合I,银河转型混合,银河鑫利混合A,银河鑫利混合C",1206,20.02,41.8
28,陈晨,华泰证券(上海)资产管理,"华泰紫金季季享定开债A,华泰紫金季季享定开债C,华泰紫金月月购3月滚动债A,华泰紫金月月购3月滚动债C,华泰紫金周周购3月滚动债A,华泰紫金周周购3月滚动债C,华泰紫金中债1-5年国开债指数A,华泰紫金中债1-5年国开债指数C,华泰紫金丰安27个月定开债券A,华泰紫金丰安27个月定开债券C,华泰紫金丰睿债券发起A,华泰紫金丰睿债券发起C,华泰紫金丰和偏债混合A,华泰紫金丰和偏债混合C,华泰紫金月月发1个月滚动债券发起A,华泰紫金月月发1个月滚动债券发起C",953,95.85,15.57
29,陈晨,东吴基金,"东吴优益债券A,东吴优益债券C,东吴悦秀纯债债券A,东吴悦秀纯债债券C,东吴鼎泰纯债债券,东吴瑞盈63个月定开债",2320,72.81,9.61
30,陈臣,圆信永丰基金,"圆信永丰优选价值A,圆信永丰优选价值C",514,4.78,56.67
31,蔡春红,新华基金,"新华稳健回报混合发起式,新华钻石品质企业混合,新华优选消费混合",2276,11.69,74.91
32,曹春林,创金合信基金,"创金合信优选回报灵活配置混合,创金合信新能源汽车股票A,创金合信新能源汽车股票C,创金气候变化责任投资股票A,创金气候变化责任投资股票C,创金合信数字经济主题股票A,创金合信数字经济主题股票C,创金合信积极成长股票A,创金合信积极成长股票C,创金合信碳中和混合A,创金合信碳中和混合C",1560,19.8,238.62
33,崔宸龙,前海开源基金,"前海开源新经济混合A,前海开源沪港深智慧生活混合,前海开源公用事业股票,前海开源沪港深非周期股票A,前海开源沪港深非周期股票C,前海开源新经济混合C",451,42.16,187.47
34,池陈森,安信基金,"安信医药健康股票A,安信医药健康股票C",275,1.77,25.7
35,蔡丹,宝盈基金,"宝盈祥瑞混合A,宝盈祥泰混合A,宝盈祥泰混合C,宝盈祥瑞混合C,宝盈中证100指数增强C,宝盈策略增长混合,宝盈中证100指数增强A",1531,18.02,86.76
36,陈栋,光大保德信基金管理,"光大银发商机混合,光大欣鑫混合A,光大欣鑫混合C,光大安和债券A,光大安和债券C,光大事件驱动混合,光大中小盘混合",2375,53.77,111.96
37,陈丹琳,工银瑞信基金,"工银聚丰混合A,工银聚丰混合C",2058,2.28,0.53
38,陈大烨,鹏华基金,"鹏华双债增利债券,鹏华金城混合",68,9.6,0.71
39,程放,长信基金,"长信先优债券,长信利发债券",287,10.89,5.66
40,车飞,上海光大证券资产管理,"光大阳光稳健增长混合A,光大阳光稳债收益12个月持有债券A,光大阳光稳债收益12个月持有债券C,光大阳光稳债中短债债券A,光大阳光稳债中短债债券C,光大阳光北斗星180天滚动C,光大阳光稳健增长混合C,光大阳光北斗星180天滚动A",429,111.2,4.48
41,陈芳菲,上银基金,"上银政策性金融债,上银慧恒收益增强债券,上银中债5-10年国开债指数",1302,61.33,3.88
42,陈富权,农银汇理基金,"农银行业成长混合,农银平衡双利混合,农银策略价值混合",2976,29.49,292.01
43,蔡凤仪,中泰证券(上海)资管,中泰青月安盈66个月定开债,120,81.84,1.23
44,陈钢,天弘基金,"天弘鑫利三年定开,天弘季季兴三个月定开A,天弘季季兴三个月定开C,天弘聚新三个月定开A,天弘聚新三个月定开C,天弘睿新三个月定开A,天弘睿新三个月定开C,天弘益新混合A,天弘益新混合C",3377,148.49,11.41
45,陈桂都,工银瑞信基金,"工银中高等级信用债债券A,工银中高等级信用债债券B,工银泰享三年理财债券,工银恒享纯债债券,工银丰淳半年定开债券,工银瑞景定开发起式债券,工银瑞泽定开债券,工银瑞弘3个月定开债,工银瑞安3个月定开纯债债券,工银泰颐三年定开债券A,工银泰颐三年定开债券C,工银瑞达一年定开纯债发起式",1868,647.07,20.1
46,陈鹄飞,中银基金,"中银丰实定开债,中银利享定期开放债券,中银添盛39个月定期开放债券,中银嘉享3个月定开债",723,170.61,7.92
47,陈国光,天弘基金,"天弘互联网混合,天弘新价值混合,天弘策略精选混合A,天弘策略精选混合C,天弘弘新混合发起式,天弘创新领航A,天弘创新领航C,天弘创新成长混合发起式A,天弘创新成长混合发起式C,天弘鑫悦成长混合A,天弘鑫悦成长混合C",3307,39.85,76.06
48,陈顾君,浙商证券资管,浙商汇金中证转型成长指数,632,0.1,12.65
49,车广路,湘财基金,"湘财长顺混合发起式A,湘财长顺混合发起式C,湘财长源股票型A,湘财长源股票型C,湘财长兴灵活配置混合A,湘财长兴灵活配置混合C,湘财长泽灵活配置混合A,湘财长泽灵活配置混合C,湘财长弘灵活配置混合A,湘财长弘灵活配置混合C,湘财创新成长一年持有期混合A,湘财创新成长一年持有期混合C,湘财周期轮动一年持有混合",3381,13.85,76.53
50,蔡国亮,兴银基金,兴银消费新趋势灵活配置,280,0.07,-2.02
1,陈亘斯,长盛基金,"长盛同鑫行业配置混合C,长盛环球行业混合(QDII),长盛同鑫行业配置混合A,长盛中小盘精选混合,长盛同庆中证800(LOF),长盛沪深300指数(LOF),长盛中证金融地产指数(LOF),长盛中证申万一带一路指数(LOF),长盛上证50指数(LOF),长盛中证全指证券指数(LOF),长盛中证100指数",868,21.02,79
2,陈皓,易方达基金,"易方达新经济混合,易方达均衡成长股票,易方达港股通成长混合A,易方达港股通成长混合C,易方达平稳增长混合,易方达科翔混合,易方达科讯混合,易方达创新未来18个月封闭混合",3303,391.63,540.9
3,陈恒,华商基金,"华商新动力混合,华商医药医疗行业股票",1541,2.72,42.88
4,陈涵,工银瑞信基金,"工银全球美元债A人民币,工银全球美元债A美元现汇,工银全球美元债C,工银瑞信添慧债券A,工银瑞信添慧债券C,工银3-5年国开债指数A,工银3-5年国开债指数C,工银1-3年国开债指数A,工银1-3年国开债指数C,工银1-3年农发债指数A,工银1-3年农发债指数C,工银中债1-5年进出口行A,工银中债1-5年进出口行C,工银彭博国开债1-3年指数A,工银彭博国开债1-3年指数C,工银彭博国开债1-3年指数E,工银1-3年农发债指数E,工银中债1-5年进出口行E,工银3-5年国开债指数E,工银1-3年国开债指数E,工银稳健回报60天持有期短债A,工银稳健回报60天持有期短债C",847,173.4,11.23
5,陈红,兴证全球基金,"兴全汇虹一年持有混合A,兴全汇虹一年持有混合C,兴全汇吉一年持有混合A,兴全汇吉一年持有混合C",247,51.47,10.96
6,陈皓,北信瑞丰,"北信瑞丰宜投宝A,北信瑞丰宜投宝B,北信瑞丰现金添利A,北信瑞丰现金添利B,北信瑞丰丰利混合",220,54.24,5.82
7,程卉超,合煦智远基金,"合煦智远消费主题股票发起式A,合煦智远消费主题股票发起式C,合煦智远金融科技指数(LOF)A,合煦智远金融科技指数(LOF)C",834,1.34,15.26
8,陈鸿平,中邮基金,中邮沪港深精选混合,931,0.05,8.78
9,陈会荣,大成基金,"大成丰财宝货币A,大成丰财宝货币B,大成添利宝货币A,大成添利宝货币B,大成添利宝货币E,大成月添利一个月滚动持有中短债E,大成惠益纯债,大成惠祥纯债债券,大成惠享一年定开债券,大成货币A,大成月添利一个月滚动持有中短债A,大成现金增利货币A,大成货币B,大成月添利一个月滚动持有中短债B,大成现金增利货币B",1895,599.43,16.85
10,陈军,东吴基金,"东吴兴享成长混合A,东吴兴享成长混合C",5221,18.58,4.82
11,曹晋,富国基金,"富国中小盘精选混合,富国成长动力混合,富国匠心精选12个月持有混合A,富国匠心精选12个月持有混合C,富国通胀通缩主题轮动混合,富国创业板两年定开混合",2975,91.1,218.3
12,成钧,平安基金,"平安股息精选沪港深A,平安股息精选沪港深C,平安300ETF联接A,平安300ETF联接C,平安MSCI中国A股ETF联接A,平安MSCI中国A股ETF联接C,平安500ETF联接A,平安500ETF联接C,平安中证新能源汽车ETF发起联接A,平安中证新能源汽车ETF发起联接C,平安中证光伏产业指数A,平安中证光伏产业指数C,平安中证港股通医药卫生综合ETF,平安富时中国国企开放共赢ETF,平安创业板ETF,平安中债-0-5年地方债ETF,平安沪深300ETF,平安中证500ETF,平安中证5-10年国债活跃券ETF,平安中债债利差因子ETF,平安MSCI中国A股国际ETF,平安粤港澳大湾区ETF",1389,124.57,97.8
13,蔡静,中银基金,"中银薪钱包货币,中银机构现金管理货币,中银瑞福浮动净值型货币A,中银瑞福浮动净值型货币C,中银货币A,中银货币B",591,619.18,3.58
