A,B,C
0.050185185,0.496091889,0.050185185
0.050185185,0.496091889,0.050185185
0.050185185,0.496091889,0.050185185
0.050185185,0.496091889,0.050185185
0.050185185,0.496091889,0.050185185
0.050185185,0.496091889,0.050185185
0.050185185,0.496091889,0.050185185
0.05037037,0.502280505,0.05037037
0.05037037,0.496091889,0.05037037
0.05037037,0.496091889,0.05037037
0.05037037,0.496091889,0.05037037
0.05037037,0.496091889,0.05037037
0.05037037,0.496091889,0.05037037
0.05037037,0.496091889,0.05037037
0.051296296,0.527004029,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.051296296,0.496091889,0.051296296
0.050925926,0.483788919,0.050925926
0.050925926,0.496091889,0.050925926
0.050925926,0.496091889,0.050925926
0.050925926,0.496091889,0.050925926
0.051111111,0.502255751,0.051111111
0.051111111,0.496091889,0.051111111
0.051111111,0.496091889,0.051111111
0.051111111,0.496091889,0.051111111
0.051111111,0.496091889,0.051111111
0.051111111,0.496091889,0.051111111
0.051111111,0.496091889,0.051111111
0.051111111,0.496091889,0.051111111
0.051111111,0.496091889,0.051111111
0.051481481,0.508407236,0.051481481
0.051481481,0.496091889,0.051481481
0.051481481,0.496091889,0.051481481
0.051481481,0.496091889,0.051481481
0.051481481,0.496091889,0.051481481
0.051481481,0.496091889,0.051481481
0.051481481,0.496091889,0.051481481
0.051481481,0.496091889,0.051481481
0.052592593,0.532963667,0.052592593
0.052592593,0.496091889,0.052592593
0.052592593,0.496091889,0.052592593
0.052592593,0.496091889,0.052592593
0.052592593,0.496091889,0.052592593
0.052592593,0.496091889,0.052592593
0.052592593,0.496091889,0.052592593
0.049074074,0.380018195,0.049074074
0.049074074,0.496091889,0.049074074
0.049074074,0.496091889,0.049074074
0.049074074,0.496091889,0.049074074
0.049074074,0.496091889,0.049074074
0.049074074,0.496091889,0.049074074
0.049074074,0.496091889,0.049074074
0.052037037,0.595710051,0.052037037
0.052037037,0.496091889,0.052037037
0.052037037,0.496091889,0.052037037
0.052037037,0.496091889,0.052037037
0.053703704,0.551238652,0.053703704
0.052777778,0.465724347,0.052777778
0.052592593,0.489989913,0.052592593
0.053333333,0.520530736,0.053333333
0.053333333,0.496091889,0.053333333
0.053333333,0.496091889,0.053333333
0.055,0.550861146,0.055
0.05462963,0.484030275,0.05462963
0.05462963,0.496091889,0.05462963
0.055740741,0.532350994,0.055740741
0.056296296,0.514119329,0.056296296
0.056296296,0.496091889,0.056296296
0.056296296,0.496091889,0.056296296
0.057222222,0.526044793,0.057222222
0.058518519,0.537827919,0.058518519
0.060925926,0.57307828,0.060925926
0.05962963,0.455148001,0.05962963
0.053888889,0.313552452,0.053888889
0.053888889,0.496091889,0.053888889
0.053888889,0.496091889,0.053888889
0.057962963,0.629574161,0.057962963
0.055185185,0.407006752,0.055185185
0.050555556,0.345442393,0.050555556
0.052037037,0.545501804,0.052037037
0.055,0.594131954,0.055
0.055,0.496091889,0.055
0.055,0.496091889,0.055
0.055925926,0.526249018,0.055925926
0.054259259,0.442071454,0.054259259
0.056851852,0.580869748,0.056851852
0.058333333,0.543880386,0.058333333
0.057962963,0.484234499,0.057962963
0.057962963,0.496091889,0.057962963
0.057962963,0.496091889,0.057962963
0.058333333,0.507967844,0.058333333
0.05537037,0.40124515,0.05537037
0.05462963,0.472011981,0.05462963
0.053888889,0.471919152,0.053888889
0.052777778,0.459690445,0.052777778
0.052777778,0.496091889,0.052777778
0.052777778,0.496091889,0.052777778
0.050555556,0.422855799,0.050555556
0.051851852,0.539325565,0.051851852
0.051666667,0.489958969,0.051666667
0.048888889,0.403999084,0.048888889
0.05,0.53348351,0.05
0.05,0.496091889,0.05
0.05,0.496091889,0.05
0.053518519,0.613793189,0.053518519
0.054074074,0.514329742,0.054074074
0.053148148,0.465786233,0.053148148
0.052592593,0.477816904,0.052592593
0.052037037,0.477761206,0.052037037
0.052037037,0.496091889,0.052037037
0.052037037,0.496091889,0.052037037
0.050555556,0.447071856,0.050555556
0.050925926,0.508444367,0.050925926
0.049259259,0.440617129,0.049259259
0.047407407,0.433896291,0.047407407
0.045555556,0.433265052,0.045555556
0.045555556,0.496091889,0.045555556
0.045555556,0.496091889,0.045555556
0.042407407,0.388187169,0.042407407
0.041296296,0.457332582,0.041296296
0.043333333,0.567601354,0.043333333
0.043888889,0.515369429,0.043888889
0.047037037,0.604999165,0.047037037
0.047037037,0.496091889,0.047037037
0.047037037,0.496091889,0.047037037
0.047037037,0.496091889,0.047037037
0.047592593,0.514979547,0.047592593
0.046481481,0.458434156,0.046481481
0.045555556,0.464517566,0.045555556
0.044814815,0.470699994,0.044814815
0.044814815,0.496091889,0.044814815
0.044814815,0.496091889,0.044814815
0.041296296,0.374999226,0.041296296
0.040925926,0.483089605,0.040925926
0.041111111,0.502608502,0.041111111
0.042222222,0.535135871,0.042222222
0.040555556,0.437894138,0.040555556
0.040555556,0.496091889,0.040555556
0.040555556,0.496091889,0.040555556
0.035,0.300246926,0.035
0.036666667,0.556765086,0.036666667
0.039074074,0.582881049,0.039074074
0.03462963,0.338084128,0.03462963
0.033703704,0.46230823,0.033703704
0.033703704,0.496091889,0.033703704
0.033703704,0.496091889,0.033703704
0.030555556,0.380606113,0.030555556
0.029259259,0.44763502,0.029259259
0.031111111,0.565862353,0.031111111
0.032592593,0.551288161,0.032592593
0.034444444,0.564476103,0.034444444
0.034444444,0.496091889,0.034444444
0.034444444,0.496091889,0.034444444
0.035925926,0.550198964,0.035925926
0.035555556,0.482681156,0.035555556
0.035555556,0.496091889,0.035555556
