,序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
0,1,艾定飞,华商基金,"华商电子行业量化股票,华商计算机行业量化股票",3 ,5.74,87.75
1,2,艾小军,国泰基金,"国泰黄金ETF联接A,国泰黄金ETF联接C,国泰量化成长优选混合A,国泰量化成长优选混合C,国泰中证全指通信设备ETF联接A,国泰中证全指通信设备ETF联接C,国泰中证计算机主题ETF联接C,国泰中证全指证券公司ETF联接A,国泰中证全指证券公司ETF联接C,国泰上证180金融ETF联接,国泰策略价值灵活配置混合,国泰中证计算机主题ETF联接A,国泰中证申万证券行业指数,国泰国证航天军工指数,国泰上证180金融ETF,国泰中证军工ETF,国泰中证计算机ETF,国泰CES半导体芯片ETF,国泰中证全指证券公司ETF,国泰中证全指通信设备ETF,国泰黄金ETF",8 ,706.17,199.62
2,3,安昀,长信基金,"长信内需成长混合E,长信消费升级混合A,长信消费升级混合C,长信优质企业混合A,长信优质企业混合C,长信内需均衡混合A,长信内需均衡混合C,长信内需成长混合A",7 ,52.58,138.33
3,4,彬彬,人保资产,"人保优势产业混合A,人保优势产业混合C",3 ,0.58,66.03
4,5,包兵华,鹏华基金,"鹏华研究驱动混合,鹏华研究智选混合,鹏华成长智选混合A,鹏华成长智选混合C",2 ,87.4,139.54
5,6,白冰洋,中银证券,"中银证券价值精选混合,中银证券健康产业混合,中银证券聚瑞混合A,中银证券聚瑞混合C,中银证券优势制造股票A,中银证券优势制造股票C",5 ,4.63,57.1
6,7,薄官辉,银华基金,"银华高端制造业混合,银华中国梦30股票,银华兴盛股票,银华阿尔法混合,银华安盛混合,银华消费主题混合,银华优势企业混合",6 ,68.98,163.34
7,8,边慧,银华基金,"银华汇盈一年持有期混合A,银华汇盈一年持有期混合C",1 ,9.04,3
8,9,白海峰,招商基金,"招商沪港深科技创新混合A,招商MSCI中国A股国际ETF联接A,招商MSCI中国A股国际ETF联接C,招商普盛全球配置(QDII-FOF)人民币,招商普盛全球配置(QDII-FOF)美元现汇,招商普盛全球配置(QDII-FOF)美元现钞,招商沪港深科技创新混合C,招商港股通核心精选股票A,招商港股通核心精选股票C,招商MSCI中国A股国际通ETF",5 ,22.89,106.03
9,10,白洁,中银基金,"中银活期宝货币,中银悦享定期开放债券发起式,中银睿享定开债券,中银丰庆定期开放债券,中银信享定期开放债券,中银稳汇短债债券A,中银稳汇短债债券C,中银产业债债券C,中银欣享利率债,中银稳汇短债债券E,中银嘉享3个月定开债,中银恒泰9个月持有期债券A,中银恒泰9个月持有期债券C,中银产业债债券A",11 ,1023.7,49.83
10,11,毕凯,南方基金,"南方沪港深核心优势混合,南方香港优选股票",4 ,7.24,55.63
11,12,毕凯,光大保德信基金管理,"光大岁末红利纯债A,光大岁末红利纯债C,光大尊丰纯债定开债,光大裕鑫混合A,光大裕鑫混合C,光大尊裕纯债一年定开债",1 ,18.99,4.18
12,13,白鹏,中邮基金,中邮核心成长混合,0 ,57.93,1.39
13,14,毕天宇,富国基金,"富国高端制造行业股票,富国龙头优势混合,富国均衡成长三年持有期混合A,富国均衡成长三年持有期混合C,富国天博创新主题混合",16 ,61.72,352.7
14,15,鲍无可,景顺长城基金,"景顺长城沪港深精选股票,景顺长城价值边际灵活配置混合,景顺长城价值驱动一年持有混合,景顺长城价值稳进定开混合,景顺长城价值领航混合,景顺长城能源基建混合",7 ,97.16,245.67
15,16,贲兴振,银华基金,"银华混改红利灵活配置混合发起式,银华行业轮动混合,银华稳健增长一年持有期混合,银华优质增长混合",8 ,61.32,138.96
16,17,柏杨,大成基金,"大成港股精选混合(QDII)A,大成港股精选混合(QDII)C",0 ,4.94,-7.82
17,18,白玉,浙商基金,"浙商智选经济动能混合A,浙商智选经济动能混合C",0 ,13.42,0.99
18,19,薄玉,华宝基金,华宝消费升级混合,0 ,0.45,3.14
19,20,卞亚军,同泰基金,"同泰远见混合A,同泰远见混合C,同泰竞争优势混合A,同泰竞争优势混合C,同泰大健康主题混合A,同泰大健康主题混合C,同泰行业优选股票A,同泰行业优选股票C,同泰数字经济股票A,同泰数字经济股票C",5 ,7.11,23.81
20,21,毕子男,华融基金,华融新利灵活配置混合,1 ,0.02,15.04
21,22,毕仲圆,易方达基金,易方达港股通红利混合,1 ,15.74,2.29
22,23,蔡宾,长盛基金,"长盛稳怡添利债券A,长盛稳怡添利债券C,长盛安泰一年持有期混合A,长盛安泰一年持有期混合C,长盛鑫盛稳健一年持有A,长盛鑫盛稳健一年持有C,长盛安睿一年持有混合A,长盛安睿一年持有混合C",12 ,14.36,15.57
23,24,蔡滨,博时基金,"博时产业新动力混合A,博时外延增长主题灵活配置混合,博时逆向投资混合A,博时逆向投资混合C,博时战略新兴产业混合,博时产业新动力混合C,博时荣享回报混合A,博时荣享回报混合C,博时产业新趋势混合A,博时产业新趋势混合C,博时研究精选持有期混合A,博时研究精选持有期混合C,博时产业精选混合A,博时产业精选混合C,博时产业慧选混合A,博时产业慧选混合C,博时产业优选混合A,博时产业优选混合C",7 ,152.09,189.84
24,25,陈博,上银基金,"上银鑫达混合,上银未来生活灵活配置混合,上银丰益混合A,上银丰益混合C",2 ,6.13,68.32
25,26,陈保国,西部利得基金,"西部利得景瑞灵活配置混合C,西部利得碳中和混合发起A,西部利得碳中和混合发起C,西部利得成长精选混合,西部利得景瑞灵活配置混合A,西部利得景程混合A,西部利得景程混合C,西部汇逸债券A,西部汇逸债券C",2 ,44.17,134.61
26,27,陈伯祯,银河基金,"银河臻优稳健配置混合A,银河臻优稳健配置混合C,银河龙头股票,银河中证沪港深高股息A,银河中证沪港深高股息C,银河鑫利混合I,银河转型混合,银河鑫利混合A,银河鑫利混合C",3 ,20.02,41.53
27,28,陈晨,东吴基金,"东吴优益债券A,东吴优益债券C,东吴悦秀纯债债券A,东吴悦秀纯债债券C,东吴鼎泰纯债债券,东吴瑞盈63个月定开债",6 ,72.81,9.65
28,29,陈晨,华泰证券(上海)资产管理,"华泰紫金季季享定开债A,华泰紫金季季享定开债C,华泰紫金月月购3月滚动债A,华泰紫金月月购3月滚动债C,华泰紫金周周购3月滚动债A,华泰紫金周周购3月滚动债C,华泰紫金中债1-5年国开债指数A,华泰紫金中债1-5年国开债指数C,华泰紫金丰安27个月定开债券A,华泰紫金丰安27个月定开债券C,华泰紫金丰睿债券发起A,华泰紫金丰睿债券发起C,华泰紫金丰和偏债混合A,华泰紫金丰和偏债混合C,华泰紫金月月发1个月滚动债券发起A,华泰紫金月月发1个月滚动债券发起C",3 ,95.85,14.59
29,30,陈臣,圆信永丰基金,"圆信永丰优选价值A,圆信永丰优选价值C",1 ,4.78,58.34
30,31,蔡春红,新华基金,"新华稳健回报混合发起式,新华钻石品质企业混合,新华优选消费混合",6 ,11.69,74.44
31,32,曹春林,创金合信基金,"创金合信优选回报灵活配置混合,创金合信新能源汽车股票A,创金合信新能源汽车股票C,创金气候变化责任投资股票A,创金气候变化责任投资股票C,创金合信数字经济主题股票A,创金合信数字经济主题股票C,创金合信积极成长股票A,创金合信积极成长股票C,创金合信碳中和混合A,创金合信碳中和混合C",4 ,7.7,293.19
32,33,崔宸龙,前海开源基金,"前海开源新经济混合A,前海开源沪港深智慧生活混合,前海开源公用事业股票,前海开源沪港深非周期股票A,前海开源沪港深非周期股票C,前海开源新经济混合C",1 ,42.16,207.8
33,34,池陈森,安信基金,"安信医药健康股票A,安信医药健康股票C",1 ,1.77,19.52
34,35,陈栋,光大保德信基金管理,"光大银发商机混合,光大欣鑫混合A,光大欣鑫混合C,光大安和债券A,光大安和债券C,光大事件驱动混合,光大中小盘混合",6 ,53.77,107
35,36,蔡丹,宝盈基金,"宝盈祥瑞混合A,宝盈祥泰混合A,宝盈祥泰混合C,宝盈祥瑞混合C,宝盈中证100指数增强C,宝盈策略增长混合,宝盈中证100指数增强A",4 ,18.02,82.55
36,37,陈大烨,鹏华基金,"鹏华双债增利债券,鹏华金城混合",0 ,9.6,1.29
37,38,车飞,上海光大证券资产管理,"光大阳光稳健增长混合A,光大阳光稳债收益12个月持有债券A,光大阳光稳债收益12个月持有债券C,光大阳光稳债中短债债券A,光大阳光稳债中短债债券C,光大阳光北斗星180天滚动C,光大阳光稳健增长混合C,光大阳光北斗星180天滚动A",1 ,111.2,4.2
38,39,程放,长信基金,"长信先优债券,长信利发债券",1 ,10.89,7.73
39,40,陈芳菲,上银基金,"上银政策性金融债,上银慧恒收益增强债券,上银中债5-10年国开债指数",4 ,17.33,8.02
40,41,陈富权,农银汇理基金,"农银行业成长混合,农银平衡双利混合,农银策略价值混合",8 ,29.49,297.75
41,42,蔡凤仪,中泰证券(上海)资管,中泰青月安盈66个月定开债,0 ,81.84,0.86
42,43,陈钢,天弘基金,"天弘鑫利三年定开,天弘季季兴三个月定开A,天弘季季兴三个月定开C,天弘聚新三个月定开A,天弘聚新三个月定开C,天弘睿新三个月定开A,天弘睿新三个月定开C,天弘益新混合A,天弘益新混合C",9 ,148.49,11.7
43,44,陈桂都,工银瑞信基金,"工银中高等级信用债债券A,工银中高等级信用债债券B,工银泰享三年理财债券,工银恒享纯债债券,工银丰淳半年定开债券,工银瑞景定开发起式债券,工银瑞泽定开债券,工银瑞弘3个月定开债,工银瑞安3个月定开纯债债券,工银泰颐三年定开债券A,工银泰颐三年定开债券C,工银瑞达一年定开纯债发起式",5 ,647.07,20.32
